cus_state,cus_city,cus_fullname,Transaction ID,paym_type,Customer ID,cus_postal,cus_gender,cus_bdate,cus_age,order_id,order_detail,order_date,order_total,order_barcode,time_id,transac_id,total_sales,total_discount,prod_id,prod_name,prod_cate,prod_price,prod_size,prod_cost,store_id-1,time_id-1,time_date,time_month,time_quater,time_year
MT,Helena,William Garcia,TS0001,Cash,C0001,59601,Other,25/6/1987 AD,37,OR0001,"GULLIVER, BILLY / OXBERG, BRYNET, NORDMELA, VÃ„STANBY/VÃ„STANÃ… / LEIFARNE, SUNDVIK, KURA, BRORINGE",9/5/2023 AD,8,5360f18e00001,TM0001,TS0001,2448,94,PD0047,HÅVERUD,Bar furniture,189.99,Medium,184.99,S0047,TM0001,9,5,Q2,2023
GA,Atlanta,William Lopez,TS0002,Debit Card,C0002,30301,Female,15/12/2006 AD,18,OR0002,"STUBBARP, TULLSTA",31/7/2022 AD,2,5360f18e00002,TM0002,TS0002,3104,65,PD1841,LANGUR,Nursery furniture,345,Small,335,S1841,TM0002,31,7,Q3,2022
WI,Madison,Elizabeth Lopez,TS0003,Cash,C0003,53703,Male,8/12/1988 AD,36,OR0003,"INGATORP / HENRIKSDAL, AGAM, MÃ–LLARP, LIDKULLEN, UTÃ…KER",5/3/2021 AD,5,5360f18e00003,TM0003,TS0003,4257,59,PD1217,MELLTORP / MARIUS,Chairs,149,Small,142,S1217,TM0003,5,3,Q1,2021
ME,Augusta,Susan Garcia,TS0004,Debit Card,C0004,04330,Female,21/4/1993 AD,31,OR0004,"GODISHUS, EKET, NORDMELA, BRUSALI, STUK, VILTO, BERNHARD",23/7/2021 AD,7,5360f18e00004,TM0004,TS0004,4236,50,PD0761,BILLY / OXBERG,Cabinets & cupboards,575,Big,571,S0761,TM0004,23,7,Q3,2021
HI,Honolulu,John Smith,TS0005,Credit Card,C0005,96813,Female,4/4/2005 AD,19,OR0005,"KUNGSHOLMEN, EKET, LANEBERG / EKEDALEN, BRORINGE, HÃ…VERUD",5/2/2019 AD,5,5360f18e00005,TM0005,TS0005,2846,81,PD1884,ÄPPLARÖ,Outdoor furniture,384,Big,375,S1884,TM0005,5,2,Q1,2019
ME,Augusta,John Rodriguez,TS0006,Credit Card,C0006,04330,Male,9/8/2001 AD,23,OR0006,"ASKHOLMEN, EKET, HYLLIS",25/3/2021 AD,3,5360f18e00006,TM0006,TS0006,4471,63,PD0070,VEVELSTAD,Beds,279,Big,271,S0070,TM0006,25,3,Q1,2021
MI,Lansing,Michael Johnson,TS0007,Debit Card,C0007,48933,Female,22/12/1991 AD,33,OR0007,"Ã–NSKLIG, GRÃ–NADAL, LÃ„CKÃ–, SVENARNE, NISSE, EKEDALEN / HENRIKSDAL, KOLBJÃ–RN, YTTERÃ–N",22/8/2021 AD,8,5360f18e00007,TM0007,TS0007,4325,95,PD1173,TERJE,Chairs,79,Medium,78,S1173,TM0007,22,8,Q3,2021
NJ,Trenton,Sarah Johnson,TS0008,Debit Card,C0008,08608,Male,31/1/1996 AD,28,OR0008,GALANT,12/6/2020 AD,1,5360f18e00008,TM0008,TS0008,1631,53,PD0586,EKET,Bookcases & shelving units,70,Small,69,S0586,TM0008,12,6,Q2,2020
NY,Albany,Karen Davis,TS0009,Cash,C0009,12207,Male,19/6/1998 AD,26,OR0009,"BOTTNA, HYLLIS, SKOGSTA / NORRARYD",10/2/2021 AD,3,5360f18e00009,TM0009,TS0009,4229,66,PD1726,TROFAST,Children's furniture,10,Medium,9,S1726,TM0009,10,2,Q1,2021
DE,Dover,David Miller,TS0010,Credit Card,C0010,19901,Male,30/6/1989 AD,35,OR0010,"BEKANT, MÃ–LLARP, HEJNE, BERTIL, NORDVIKEN / NORRARYD, MÃ–RBYLÃ…NGA / ODGER, FEJAN",20/5/2020 AD,7,5360f18e00010,TM0010,TS0010,3256,67,PD0491,BOAXEL / LAGKAPTEN,Bookcases & shelving units,159,Medium,149,S0491,TM0010,20,5,Q2,2020
